"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2025","EQ","285.00","286.40","272.05","282.00","274.00","276.10","277.90","479.00","170.10","6,397","17,77,752.90","629"
"21-Nov-2025","EQ","302.95","302.95","280.00","303.55","280.00","282.00","288.71","479.00","170.10","12,457","35,96,465.10","766"
"20-Nov-2025","EQ","306.20","316.00","301.10","310.90","302.00","303.55","305.45","479.00","170.10","3,283","10,02,778.30","296"
"19-Nov-2025","EQ","306.45","321.45","306.45","305.75","310.50","310.90","312.65","479.00","170.10","5,708","17,84,606.05","425"
"18-Nov-2025","EQ","313.90","314.60","305.00","313.40","305.00","305.75","308.92","479.00","170.10","4,992","15,42,150.50","322"
"17-Nov-2025","EQ","333.20","334.90","309.00","340.15","312.15","313.40","316.95","479.00","170.10","26,349","83,51,403.80","1,392"
"14-Nov-2025","EQ","344.25","356.25","333.10","345.45","333.10","340.15","344.88","479.00","170.10","10,051","34,66,369.20","555"
"13-Nov-2025","EQ","357.25","360.00","344.05","352.65","344.20","345.45","355.23","479.00","170.10","11,780","41,84,632.35","560"
"12-Nov-2025","EQ","345.25","360.00","344.00","350.45","354.00","352.65","351.87","479.00","170.10","13,541","47,64,630.00","784"
"11-Nov-2025","EQ","360.00","363.05","336.05","352.30","345.80","350.45","352.51","479.00","170.10","25,447","89,70,311.95","1,693"
"10-Nov-2025","EQ","338.00","364.80","327.95","341.55","346.00","352.30","347.41","479.00","170.10","21,629","75,14,107.05","920"
"07-Nov-2025","EQ","360.00","360.00","336.90","357.65","340.00","341.55","345.76","479.00","170.10","17,805","61,56,254.45","934"
"06-Nov-2025","EQ","377.00","382.10","335.10","360.00","348.10","357.65","360.23","479.00","170.10","1,58,677","5,71,60,030.15","5,602"
"04-Nov-2025","EQ","297.10","360.00","296.00","300.00","360.00","360.00","349.58","479.00","170.10","2,78,273","9,72,78,947.75","9,816"
"03-Nov-2025","EQ","311.45","313.45","295.55","316.87","297.05","300.00","306.15","479.00","170.10","8,541","26,14,864.60","799"
"31-Oct-2025","EQ","339.00","347.80","309.19","313.05","310.00","316.87","335.06","479.00","170.10","1,68,597","5,64,89,746.46","5,850"
"30-Oct-2025","EQ","261.00","313.26","261.00","261.05","313.26","313.05","309.91","479.00","170.10","81,771","2,53,41,648.26","1,840"
"29-Oct-2025","EQ","265.00","266.87","257.04","258.17","260.00","261.05","261.35","479.00","170.10","4,082","10,66,840.59","210"
"28-Oct-2025","EQ","262.49","263.91","258.00","261.69","258.25","258.17","259.59","479.00","170.10","1,636","4,24,695.96","78"
"27-Oct-2025","EQ","260.70","267.87","257.25","260.69","264.92","261.69","262.26","479.00","170.10","3,619","9,49,116.17","239"
"24-Oct-2025","EQ","268.00","274.68","257.13","270.19","259.15","260.69","263.56","479.00","170.10","3,690","9,72,523.17","278"
"23-Oct-2025","EQ","281.00","281.00","266.32","276.84","268.26","270.19","272.45","479.00","170.10","5,911","16,10,422.75","263"
"21-Oct-2025","EQ","270.00","280.00","265.00","264.02","279.79","276.84","276.82","479.00","170.10","2,836","7,85,051.14","112"
"20-Oct-2025","EQ","264.00","274.30","259.01","266.01","267.00","264.02","265.60","479.00","170.10","5,709","15,16,300.20","247"
"17-Oct-2025","EQ","275.01","282.00","263.25","277.68","269.00","266.01","269.02","479.00","170.10","5,570","14,98,447.45","208"
"16-Oct-2025","EQ","279.86","279.86","273.12","276.39","279.00","277.68","276.87","479.00","170.10","3,689","10,21,359.65","181"
"15-Oct-2025","EQ","273.99","282.00","273.99","272.49","275.00","276.39","277.15","479.00","170.10","5,268","14,60,048.63","250"
"14-Oct-2025","EQ","309.20","309.20","268.50","299.66","269.65","272.49","283.69","479.00","170.10","21,216","60,18,750.20","577"
"13-Oct-2025","EQ","321.69","321.69","297.50","321.69","305.78","299.66","304.66","479.00","170.10","9,843","29,98,764.71","436"
"10-Oct-2025","EQ","322.00","326.79","298.04","325.54","324.93","321.69","314.46","479.00","170.10","35,629","1,12,03,851.96","1,914"
"09-Oct-2025","EQ","324.00","352.90","319.00","297.99","322.01","325.54","337.02","479.00","170.10","2,47,584","8,34,40,292.68","7,627"
"08-Oct-2025","EQ","254.00","297.99","253.25","248.33","297.99","297.99","287.32","479.00","170.10","12,584","36,15,668.31","253"
"07-Oct-2025","EQ","254.00","254.00","236.35","247.71","250.99","248.33","242.79","479.00","170.10","11,180","27,14,425.81","415"
"06-Oct-2025","EQ","260.95","260.95","246.50","250.43","247.33","247.71","251.53","479.00","170.10","1,606","4,03,953.40","136"
"03-Oct-2025","EQ","254.08","258.00","248.00","249.09","250.00","250.43","251.25","479.00","170.10","1,343","3,37,432.83","69"
"01-Oct-2025","EQ","245.01","255.00","241.85","242.00","249.00","249.09","248.67","479.00","170.10","1,765","4,38,894.18","84"
"30-Sep-2025","EQ","244.00","249.40","241.25","241.10","241.35","242.00","243.87","479.00","170.10","1,686","4,11,170.95","92"
"29-Sep-2025","EQ","251.70","251.70","237.00","242.55","238.65","241.10","243.51","479.00","170.10","2,056","5,00,664.75","163"
"26-Sep-2025","EQ","243.00","255.55","238.10","248.60","244.00","242.55","243.72","479.00","170.10","8,246","20,09,716.80","517"
"25-Sep-2025","EQ","234.20","254.90","234.20","235.05","246.40","248.60","247.18","479.00","170.10","13,079","32,32,824.40","412"
"24-Sep-2025","EQ","238.45","239.95","234.05","238.40","235.00","235.05","236.06","479.00","170.10","3,707","8,75,092.35","96"
"23-Sep-2025","EQ","246.45","246.45","235.00","239.65","235.65","238.40","238.56","479.00","170.10","7,056","16,83,298.30","277"
"22-Sep-2025","EQ","242.85","251.20","237.30","246.75","239.95","239.65","242.55","479.00","170.10","3,134","7,60,161.55","152"
"19-Sep-2025","EQ","249.00","255.80","246.05","252.90","246.05","246.75","249.17","479.00","170.10","1,726","4,30,064.90","119"
"18-Sep-2025","EQ","254.95","258.85","247.05","249.65","253.20","252.90","251.71","479.00","170.10","2,754","6,93,217.00","233"
"17-Sep-2025","EQ","250.10","257.00","247.50","250.10","248.65","249.65","251.50","479.00","170.10","3,291","8,27,675.70","114"
"16-Sep-2025","EQ","260.90","260.90","249.50","254.60","252.40","250.10","251.44","479.00","170.10","2,477","6,22,826.15","118"
"15-Sep-2025","EQ","246.35","255.75","246.35","250.15","255.75","254.60","253.83","479.00","170.10","2,648","6,72,146.70","106"
"12-Sep-2025","EQ","251.25","257.45","248.75","253.60","253.00","250.15","252.30","479.00","170.10","2,118","5,34,365.30","97"
"11-Sep-2025","EQ","250.55","254.80","248.00","248.60","248.25","253.60","252.00","479.00","170.10","1,912","4,81,823.90","125"
"10-Sep-2025","EQ","248.15","259.65","248.15","248.15","248.50","248.60","251.17","479.00","170.10","2,199","5,52,313.85","198"
"09-Sep-2025","EQ","262.70","262.70","247.60","250.55","247.60","248.15","251.42","479.00","170.10","2,594","6,52,187.95","227"
"08-Sep-2025","EQ","259.85","259.85","249.55","250.15","249.55","250.55","253.31","479.00","170.10","1,094","2,77,124.35","181"
"05-Sep-2025","EQ","252.00","258.45","244.05","252.85","254.95","250.15","249.46","479.00","170.10","4,897","12,21,618.55","286"
"04-Sep-2025","EQ","262.80","262.80","252.20","260.45","252.35","252.85","255.35","479.00","170.10","1,680","4,28,991.20","180"
"03-Sep-2025","EQ","265.65","268.80","258.05","262.70","262.80","260.45","261.97","479.00","170.10","1,621","4,24,648.10","117"
"02-Sep-2025","EQ","261.05","269.60","260.80","259.65","262.50","262.70","264.93","479.00","170.10","1,915","5,07,331.45","262"
"01-Sep-2025","EQ","257.00","263.10","252.05","254.35","261.05","259.65","255.80","479.00","170.10","2,072","5,30,019.95","256"
"29-Aug-2025","EQ","243.00","259.00","243.00","250.40","256.70","254.35","253.90","479.00","170.10","1,403","3,56,228.65","140"
"28-Aug-2025","EQ","250.00","256.85","248.25","258.75","251.00","250.40","252.33","479.00","170.10","1,948","4,91,536.00","122"
"26-Aug-2025","EQ","254.50","265.00","254.50","259.70","265.00","258.75","257.84","479.00","170.10","1,296","3,34,157.10","55"
"25-Aug-2025","EQ","268.00","268.00","257.40","259.60","260.00","259.70","261.34","479.00","170.10","1,834","4,79,303.90","104"
"22-Aug-2025","EQ","266.00","266.00","254.50","256.50","259.95","259.60","258.20","479.00","170.10","1,257","3,24,562.70","116"
"21-Aug-2025","EQ","270.85","270.85","255.25","258.85","256.00","256.50","258.73","479.00","170.10","2,834","7,33,254.60","252"
"20-Aug-2025","EQ","272.75","272.75","252.25","259.75","255.85","258.85","260.19","479.00","170.10","2,917","7,58,968.15","281"
"19-Aug-2025","EQ","268.80","268.80","259.40","258.95","259.40","259.75","260.92","479.00","170.10","1,755","4,57,912.70","137"
"18-Aug-2025","EQ","265.00","272.95","257.00","261.70","257.00","258.95","263.02","479.00","170.10","4,811","12,65,410.10","281"
"14-Aug-2025","EQ","258.95","264.80","247.05","256.40","262.00","261.70","257.34","479.00","170.10","6,372","16,39,788.30","222"
"13-Aug-2025","EQ","263.00","263.00","250.55","255.00","252.40","256.40","254.89","479.00","170.10","4,147","10,57,024.00","294"
"12-Aug-2025","EQ","249.00","259.55","246.10","252.75","253.90","255.00","255.25","479.00","170.10","5,328","13,59,977.90","207"
"11-Aug-2025","EQ","257.30","259.00","250.05","256.00","253.85","252.75","255.76","479.00","170.10","4,053","10,36,605.80","240"
"08-Aug-2025","EQ","260.20","260.20","255.00","257.25","256.00","256.00","255.95","479.00","170.10","529","1,35,396.45","52"
"07-Aug-2025","EQ","261.50","261.50","252.25","261.20","255.00","257.25","256.03","479.00","170.10","3,271","8,37,480.00","201"
"06-Aug-2025","EQ","258.60","265.55","255.30","263.85","258.50","261.20","260.28","479.00","170.10","1,711","4,45,339.35","149"
"05-Aug-2025","EQ","262.00","274.70","256.35","260.95","263.15","263.85","267.92","479.00","170.10","8,197","21,96,178.30","571"
"04-Aug-2025","EQ","253.70","279.35","253.70","255.60","257.10","260.95","266.19","479.00","170.10","10,875","28,94,793.90","561"
"15-Apr-2025","EQ","454.00","479.00","440.55","438.45","455.00","451.50","454.20","479.00","156.65","2,22,263","10,09,51,118.95","8,056"
"11-Apr-2025","EQ","410.00","438.45","407.05","398.60","438.45","438.45","431.45","438.45","156.65","1,47,408","6,35,99,427.30","3,509"
"09-Apr-2025","EQ","365.90","401.50","361.00","365.00","401.50","398.60","390.49","401.50","156.65","3,18,096","12,42,12,889.55","10,345"
"08-Apr-2025","EQ","320.30","365.00","307.40","304.20","365.00","365.00","352.40","379.95","156.65","1,30,729","4,60,68,814.85","5,454"
"07-Apr-2025","EQ","311.00","312.10","283.55","325.50","305.50","304.20","297.99","379.95","156.65","25,901","77,18,223.80","1,745"
"04-Apr-2025","EQ","322.20","332.80","312.50","334.70","329.00","325.50","324.37","379.95","144.95","18,323","59,43,348.85","1,267"
"03-Apr-2025","EQ","337.00","343.40","318.05","339.20","334.20","334.70","334.48","379.95","144.95","33,766","1,12,93,976.55","2,043"
"02-Apr-2025","EQ","286.20","343.40","286.20","286.20","341.00","339.20","336.43","379.95","144.95","3,44,071","11,57,54,871.95","8,616"
"01-Apr-2025","EQ","302.00","302.00","280.00","299.74","283.20","286.20","287.11","379.95","144.95","16,008","45,96,123.30","823"
